country_code,report_date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index
ITA,2021-09-30,4672355,130921,4447126,92465642,85004724,45307962,42608572,3638,440,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-01,4675758,130973,4451133,92759111,85181583,45376787,42703549,3547,429,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-02,4679067,130998,4455320,93115007,85332091,45440217,42782038,3489,432,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-03,4682034,131031,4458036,93400967,85418273,45473873,42829778,3422,431,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-04,4683646,131068,4460482,93523181,85593837,45531726,42918155,3469,437,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-05,4686109,131118,4464692,93845463,85760205,45588914,42998523,3401,433,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-06,4689341,131157,4469937,94147236,85919669,45647436,43070508,3287,415,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-07,4692274,131198,4473903,94444592,86080703,45708175,43142363,3227,403,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-08,4695291,131228,4478137,94716158,86253570,45773011,43222989,3125,383,NULL,2,2,2,-2,2,-2,-2,3,2,3,2,-3,5,3,80.21,74.54,80.95,75
ITA,2021-10-09,4698038,131274,4481462,95061127,86402074,45828750,43299093,3059,367,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-10,4700316,131301,4484207,95331171,86487422,45857387,43344867,3015,364,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-11,4701832,131335,4486391,95445947,86670717,45917335,43432286,3062,374,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-12,4704318,131384,4490388,95761232,86860538,45981242,43516780,3035,370,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-13,4707087,131421,4495215,96040177,87065846,46051550,43604974,2919,367,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-14,4709753,131461,4498924,96364791,87291471,46133407,43696505,2838,359,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-15,4712482,131503,4502457,96870834,87511277,46210385,43790104,2802,357,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-16,4715464,131517,4505876,97343369,87682697,46267729,43873069,2723,352,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-17,4717899,131541,4508789,97724420,87786783,46299446,43924536,2735,349,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-18,4719493,131585,4511545,97944298,87984183,46351667,44014837,2786,358,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-19,4722188,131655,4515987,98606298,88170541,46394475,44093181,2778,355,NULL,2,2,2,1,2,1,-2,3,2,3,2,2,5,3,77.6,71.3,77.98,75
ITA,2021-10-20,4725887,131688,4520531,99091911,88358738,46433422,44168255,2819,355,NULL,2,2,2,1,2,1,-2,3,2,3,2,2,5,3,77.6,71.3,77.98,75
ITA,2021-10-21,4729678,131724,4524204,99666582,88550697,46469305,44246553,2795,356,NULL,2,2,2,1,2,1,-2,3,2,3,2,2,5,3,77.6,71.3,77.98,75
ITA,2021-10-22,4733557,131763,4528065,100153800,88731418,46503554,44320340,2786,343,NULL,2,2,2,1,2,1,-2,3,2,3,2,2,5,3,77.6,71.3,77.98,75
ITA,2021-10-23,4737462,131802,4531644,100645374,88865230,46527801,44381158,2793,338,NULL,2,2,2,1,2,1,-2,3,2,3,2,-3,5,3,78.39,71.3,78.87,75
ITA,2021-10-24,4741185,131826,4534584,101049089,88932893,46540206,44414535,2814,341,NULL,2,2,2,1,2,1,-2,3,2,3,2,-3,5,3,78.39,71.3,78.87,75
ITA,2021-10-25,4743720,131856,4537210,101271474,89103075,46567151,44479443,2917,338,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-26,4747773,131904,4540823,101911219,89274699,46591542,44537819,2945,341,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-27,4752368,131954,4545049,102379323,89458215,46615589,44596147,2956,341,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-28,4757231,132004,4548449,102949658,89654077,46638667,44657612,2956,347,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-29,4762563,132037,4551882,103424436,89837545,46659869,44719267,3007,349,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-30,4767440,132074,4554985,103901788,89971871,46677816,44769939,3053,346,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-10-31,4771965,132100,4557417,104251958,90032767,46686385,44795101,3096,342,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-01,4774783,132120,4558941,104398683,90085467,46692610,44814149,3227,364,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-02,4777614,132161,4561006,104637037,90254062,46711086,44876910,3377,385,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-03,4782802,132224,4565291,105354348,90450360,46730203,44937644,3410,381,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-04,4788704,132283,4569045,105868977,90653805,46749884,44996886,3428,383,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-05,4795465,132334,4572775,106412391,90870238,46770192,45059981,3519,395,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-06,4802225,132365,4576167,106904353,91023277,46787759,45106457,3565,392,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-07,4808047,132385,4578669,107339124,91090513,46795671,45128708,3613,398,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-08,4812594,132423,4581396,107588239,91291670,46816056,45180236,3777,415,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-09,4818705,132491,4586009,108233928,91499114,46835579,45225639,3857,421,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-10,4826738,132551,4591328,108721546,91716759,46855897,45268222,3870,423,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-11,4835435,132618,4595897,109317358,91935733,46876483,45313155,3931,422,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-12,4843957,132686,4600612,109816293,92159563,46896903,45359525,3970,445,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
ITA,2021-11-13,4852496,132739,4604645,110356664,92326808,46915809,45392779,4050,453,NULL,2,2,2,1,2,-2,-2,3,2,3,2,-3,5,3,79.43,73.15,80.06,75
